"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C1";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"10uf 35V";;;
2;"C2, C18, C19, C20, C21, C22";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";6;"100nF";;;
3;"C3, C4, C6";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";3;"22µF";;;
4;"C5";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"10µF";;;
5;"C7";"C_0603_1608Metric";1;"10u";;;
6;"C8, C9, C10, C11, C12";"C_0402_1005Metric";5;"100n";;;
7;"C13";"C_0402_1005Metric";1;"10n";;;
8;"C14, C15";"C_0402_1005Metric";2;"1u";;;
9;"C17, C25";"C_0402_1005Metric";2;"10p";;;
10;"D1";"D_SMB_Handsoldering";1;"SS34";;;
11;"D3, D4, D5, D6, D7";"D_SMB_Handsoldering";5;"SMBJ26A";;;
12;"D13";"D_DO-35_SOD27_P7.62mm_Horizontal";1;"1N4148";;;
13;"D14, D15, D16, D17, D18";"D_SMA";5;"SS34";;;
14;"D19";"LED_2010_5025Metric_Pad1.52x2.65mm_HandSolder";1;"LED";;;
15;"FAN";"PinHeader_1x02_P2.54mm_Vertical";1;"FAN";;;
16;"FB1";"L_0603_1608Metric";1;"120R";;;
17;"I2C, ST-Link, UART";"PinHeader_1x04_P2.00mm_Vertical";3;"Conn_01x04_Male";;;
18;"J2";"USB_C_Receptacle_HRO_TYPE-C-31-M-12";1;"USB_C_Receptacle_USB2.0_16P";;;
19;"J4, J5, J6, J7, J8";"AMASS_XT60PW-M_1x02_P7.20mm_Horizontal";5;"XT60_P1";;;
20;"L1";"L_7.3x7.3_H4.5";1;"4.7µH";;;
21;"Q1, Q2, Q3, Q4, Q5";"TO-220-3_Vertical";5;"IRLZ44N";;;
22;"Q6";"TO-92_Inline";1;"2N2222";;;
23;"R2";"R_0402_1005Metric";1;"10k";;;
24;"R3";"R_0402_1005Metric";1;"1k5";;;
25;"R4";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"1K";;;
26;"R8, R14, R20, R26, R32";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";5;"1M";;;
27;"R9, R15, R21, R27, R33";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";5;"120k";;;
28;"R10, R17, R23, R29, R35";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";5;"10";;;
29;"R11, R16, R22, R28, R34";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";5;"100k";;;
30;"R12, R13, R18, R19, R24, R25, R30, R31, R36, R37, R55, R56, R57, R58, R59";"R_Axial_Power_L38.0mm_W6.4mm_P45.72mm";15;"8.2R 10W";;;
31;"R54";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"100";;;
32;"RP_SCL1, RP_SDA1";"R_0402_1005Metric";2;"2k2";;;
33;"SW1";"SW_PUSH_6mm";1;"SW_Push";;;
34;"U1";"TSOT-23-6";1;"AP63205WU-7";;;
35;"U2";"SOT-223-3_TabPin2";1;"AMS1117-3.3";;;
36;"U3";"LQFP-48_7x7mm_P0.5mm";1;"STM32F103C8T6";;;
37;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"16MHz";;;
