"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C1";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"10uf 35V";;;
2;"C2, C7, C8, C9, C10, C11, C12, C15, C18, C19, C20, C21, C22, C23";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";14;"100nF";;;
3;"C3, C4";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"22uF 10V";;;
4;"C5, C6";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"10uF";;;
5;"C13";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"1uF";;;
6;"C14";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"10nF";;;
7;"C16, C17";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"20pF";;;
8;"D1";"D_SMB_Handsoldering";1;"D_TVS";;;
9;"D2";"D_SMB_Handsoldering";1;"SS34";;;
10;"D3, D5, D7, D9, D11";"D_SMB_Handsoldering";5;"SMBJ26A";;;
11;"D4, D6, D8, D10, D12";"LED_D5.0mm-4_RGB";5;"LED_KRGB";;;
12;"D13";"D_DO-35_SOD27_P7.62mm_Horizontal";1;"1N4148";;;
13;"D14, D15, D16, D17, D18";"D_SMA";5;"SS34";;;
14;"F1";"Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"Polyfuse";;;
15;"J2";"USB_C_Receptacle_HRO_TYPE-C-31-M-12";1;"USB_C_Receptacle_USB2.0_16P";;;
16;"J3";"PinHeader_1x04_P2.54mm_Vertical";1;"SWD";;;
17;"J4";"AMASS_XT60-F_1x02_P7.20mm_Vertical";1;"XT60_P1";;;
18;"J5";"AMASS_XT60-F_1x02_P7.20mm_Vertical";1;"XT60_P2";;;
19;"J6";"AMASS_XT60-F_1x02_P7.20mm_Vertical";1;"XT60_P3";;;
20;"J7";"AMASS_XT60-F_1x02_P7.20mm_Vertical";1;"XT60_P4";;;
21;"J8";"AMASS_XT60-F_1x02_P7.20mm_Vertical";1;"XT60_P5";;;
22;"J9";"PinHeader_1x02_P2.54mm_Vertical";1;"FAN";;;
23;"L1";"L_Bourns_SRR1260";1;"22uH";;;
24;"Q1, Q2, Q3, Q4, Q5";"TO-220-3_Vertical";5;"IRLZ44N";;;
25;"Q6";"TO-92_Inline";1;"2N2222";;;
26;"R1, R8, R11, R14, R16, R20, R22, R26, R28, R32, R34";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";11;"100k";;;
27;"R2";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"20k";;;
28;"R3, R4, R48";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";3;"10k";;;
29;"R5";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"1M";;;
30;"R6, R7";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"5.1k";;;
31;"R9, R15, R21, R27, R33";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";5;"15k";;;
32;"R10, R17, R23, R29, R35";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";5;"10";;;
33;"R12, R13, R18, R19, R24, R25, R30, R31, R36, R37, R55, R56, R57, R58, R59";"R_Axial_Power_L25.0mm_W9.0mm_P27.94mm";15;"8.2R 10W";;;
34;"R38, R41, R44, R47, R51";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";5;"68";;;
35;"R39, R40, R42, R43, R45, R46, R49, R50, R52, R53";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";10;"22";;;
36;"R54";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"100";;;
37;"SW1";"SW_PUSH_6mm";1;"BOOT0_BTN";;;
38;"U1";"TSOT-23-6_HandSoldering";1;"MP2359DJ-LF-Z";;;
39;"U2";"SOT-223-3_TabPin2";1;"AMS1117-3.3";;;
40;"U3";"LQFP-48_7x7mm_P0.5mm";1;"STM32F103C8Tx";;;
41;"U4";"QFN-28-1EP_6x6mm_P0.65mm_EP4.25x4.25mm";1;"PCA9685BS";;;
42;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering";1;"8MHz";;;
