Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.015669117	0.157375212	0.157375212	0.157375212	0.157375212	0	0	0	0	0	0	3
2	2	0	0.0313382341	0.832774851	0.495075031	0.157375212	0.832774851	0.337699819	0	0	0	0	0	3
3	2	0	0.0470073511	1.32084797	0.770332678	0.157375212	1.32084797	0.612957466	0	0	0	0	0	3
4	2	0	0.0626764681	2.07022839	1.09530661	0.157375212	2.07022839	0.937931394	0	0	0	0	0	3
5	2	0	0.0783455852	3.44425488	1.56509626	0.157375212	3.44425488	1.40772105	0	0	0	0	0	3
6	2	0	0.0940147022	5.66287305	2.24805906	0.157375212	5.66287305	2.09068385	0	0	0	0	0	3
7	3	0	0.109683819	9.31926254	3.25823098	0.157375212	9.31926254	3.10085577	0	0	0	0	0	3
8	3	0	0.125352936	14.0359135	4.6054413	0.157375212	14.0359135	4.44806609	0	0	0	0	0	3
9	3	0	0.141022053	20.0891042	6.32584829	0.157375212	20.0891042	6.16847308	0	0	0	0	0	3
10	4	0	0.15669117	27.2832394	8.4215874	0.157375212	27.2832394	8.26421219	0	0	0	0	0	3
11	4	0	0.172360287	80.4303277	14.9678365	0.157375212	80.4303277	14.8104613	0	0	0	0	0	3
12	4	0	0.188029404	109.696073	22.8618563	0.157375212	109.696073	22.7044811	0	0	0	0	0	3
13	4	0	0.203698521	124.812742	30.7042321	0.157375212	124.812742	30.5468569	0	0	0	0	0	3
14	4	0	0.219367638	130.378454	37.8238193	0.157375212	130.378454	37.6664441	0	0	0	0	0	3
15	5	0	0.235036755	131.036665	44.038009	0.157375212	131.036665	43.8806338	0	0	0	0	0	3
16	5	0	0.250705873	131.148135	49.4823919	0.157375212	131.148135	49.3250167	0	0	0	0	0	3
17	5	0	0.26637499	130.917056	54.2726663	0.157375212	131.148135	54.1152911	0	0	0	0	0	3
18	5	0	0.282044107	131.395431	58.5572643	0.157375212	131.395431	58.3998891	0	0	0	0	0	3
19	5	0	0.297713224	131.47114	62.3948367	0.157375212	131.47114	62.2374615	0	0	0	0	0	3
20	6	0	0.313382341	131.590389	65.8546144	0.157375212	131.590389	65.6972392	0	0	0	0	0	3
21	6	0	0.329051458	131.55634	68.983268	0.157375212	131.590389	68.8258928	0	0	0	0	0	3
22	6	0	0.344720575	131.303375	71.8160001	0.157375212	131.590389	71.6586249	0	0	0	0	0	3
23	6	0	0.360389692	131.590007	74.41487	0.157375212	131.590389	74.2574948	0	0	0	0	0	3
24	6	0	0.376058809	131.416317	76.7899303	0.157375212	131.590389	76.6325551	0	0	0	0	0	3
25	7	0	0.391727926	131.896862	78.9942076	0.157375212	131.896862	78.8368323	0	0	0	0	0	3
26	7	0	0.407397043	131.29408	81.0057411	0.157375212	131.896862	80.8483659	0	0	0	0	0	3
27	7	0	0.42306616	131.746464	82.8850271	0.157375212	131.896862	82.7276519	0	0	0	0	0	3
28	7	0	0.438735277	131.590106	84.6244943	0.157375212	131.896862	84.467119	0	0	0	0	0	3
29	7	0	0.454404394	131.863189	86.2534148	0.157375212	131.896862	86.0960396	0	0	0	0	0	3
30	8	0	0.470073511	131.787334	87.7712121	0.157375212	131.896862	87.6138368	0	0	0	0	0	3
31	8	0	0.485742628	131.303355	89.1754747	0.157375212	131.896862	89.0180995	0	0	0	0	0	3
32	8	0	0.501411745	131.647443	90.5027238	0.157375212	131.896862	90.3453485	0	0	0	0	0	3
33	8	0	0.517080862	131.600734	94.6103287	0.832774851	131.896862	94.1152537	0	0	0	0	0	3
34	8	0	0.532749979	131.717943	98.7004902	1.32084797	131.896862	97.9301575	0	0	0	0	0	3
35	9	0	0.548419096	131.762255	102.776784	2.07022839	131.896862	101.681478	0	0	0	0	0	3
36	9	0	0.564088213	131.009424	106.806134	3.44425488	131.896862	105.241038	0	0	0	0	0	3
37	9	0	0.57975733	131.594798	110.810839	5.66287305	131.896862	108.562779	0	0	0	0	0	3
38	9	0	0.595426447	131.313365	114.737416	9.31926254	131.896862	111.479185	0	0	0	0	0	3
39	10	0	0.611095564	127.574572	118.432895	14.0359135	131.896862	113.827453	0	0	0	0	0	3
40	10	0	0.626764681	131.037931	122.089208	20.0891042	131.896862	111.807758	0	0	0	0	0	3
41	10	0	0.642433798	131.611251	125.574275	27.2832394	131.896862	104.613623	0	0	0	0	0	3
42	10	0	0.658102915	131.537431	128.832218	80.4303277	131.896862	51.4665346	0	0	0	0	0	3
43	11	0	0.673772032	128.614713	130.33798	109.696073	131.896862	22.2007889	0	0	0	0	0	3
44	11	0	0.689441149	131.588306	131.022113	124.812742	131.896862	7.08412062	0	0	0	0	0	3
45	11	0	0.705110266	129.740833	131.176116	127.574572	131.896862	4.32229007	0	0	0	0	0	3
46	12	0	0.720779384	128.583151	131.120012	127.574572	131.896862	4.32229007	0	0	0	0	0	3
47	12	0	0.736448501	131.817188	131.144404	127.574572	131.896862	4.32229007	0	0	0	0	0	3
48	12	0	0.752117618	130.352661	131.119545	127.574572	131.896862	4.32229007	0	0	0	0	0	3
49	29	0	0.767786735	131.894763	131.150098	127.574572	131.896862	4.32229007	0	0	0	0	0	3
50	29	0	0.783455852	132.159948	131.17399	127.574572	132.159948	4.58537608	0	0	0	0	0	3
51	30	0	0.799124969	133.650916	131.242108	127.574572	133.650916	6.07634391	0	0	0	0	0	3
52	30	0	0.814794086	134.59291	131.335936	127.574572	134.59291	7.01833779	0	0	0	0	0	3
53	30	0	0.830463203	132.925657	131.378728	127.574572	134.59291	7.01833779	0	0	0	0	0	3
54	31	0	0.84613232	136.794117	131.550313	127.574572	136.794117	9.21954429	0	0	0	0	0	3
55	31	0	0.861801437	138.036105	131.751754	127.574572	138.036105	10.4615328	0	0	0	0	0	3
56	31	0	0.877470554	133.677951	131.82243	127.574572	138.036105	10.4615328	0	0	0	0	0	3
