Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.015669117	-0.05558729	-0.05558729	-0.05558729	-0.05558729	0	0	0	0	0	0	3
2	2	0	0.0313382341	-0.058843308	-0.057215299	-0.058843308	-0.05558729	0.00162800899	0	0	0	0	0	3
3	2	0	0.0470073511	-0.055476505	-0.056635701	-0.058843308	-0.055476505	0.00162800899	0	0	0	0	0	3
4	2	0	0.0626764681	-0.0501630076	-0.0550175276	-0.058843308	-0.0501630076	0.00219777134	0	0	0	0	0	3
5	2	0	0.0783455852	-0.0465598895	-0.053326	-0.058843308	-0.0465598895	0.00388929897	0	0	0	0	0	3
6	2	0	0.0940147022	-0.0431125365	-0.0516237561	-0.058843308	-0.0431125365	0.00559154289	0	0	0	0	0	3
7	3	0	0.109683819	-0.0383207024	-0.0497233198	-0.058843308	-0.0383207024	0.00749197914	0	0	0	0	0	3
8	3	0	0.125352936	-0.0351588605	-0.0479027624	-0.058843308	-0.0351588605	0.00931253655	0	0	0	0	0	3
9	3	0	0.141022053	-0.0316659884	-0.0460986764	-0.058843308	-0.0316659884	0.0111166226	0	0	0	0	0	3
10	4	0	0.15669117	-0.0297500033	-0.0444638091	-0.058843308	-0.0297500033	0.0127514899	0	0	0	0	0	3
11	4	0	0.172360287	-0.02727475	-0.0429011674	-0.058843308	-0.02727475	0.0143141316	0	0	0	0	0	3
12	4	0	0.188029404	-0.0264995074	-0.0415343624	-0.058843308	-0.0264995074	0.0156809366	0	0	0	0	0	3
13	4	0	0.203698521	-0.0250222856	-0.0402642026	-0.058843308	-0.0250222856	0.0169510964	0	0	0	0	0	3
14	4	0	0.219367638	-0.0253087496	-0.039195956	-0.058843308	-0.0250222856	0.018019343	0	0	0	0	0	3
15	5	0	0.235036755	-0.0254785387	-0.0382814615	-0.058843308	-0.0250222856	0.0189338375	0	0	0	0	0	3
16	5	0	0.250705873	-0.0268682744	-0.0375681373	-0.058843308	-0.0250222856	0.0196471617	0	0	0	0	0	3
17	5	0	0.26637499	-0.0282166677	-0.0370180509	-0.058843308	-0.0250222856	0.0201972481	0	0	0	0	0	3
18	5	0	0.282044107	-0.0297602046	-0.0366148372	-0.058843308	-0.0250222856	0.0206004618	0	0	0	0	0	3
19	5	0	0.297713224	-0.0312878135	-0.0363344675	-0.058843308	-0.0250222856	0.0208808315	0	0	0	0	0	3
20	6	0	0.313382341	-0.0329425171	-0.03616487	-0.058843308	-0.0250222856	0.021050429	0	0	0	0	0	3
21	6	0	0.329051458	-0.0353699241	-0.0361270154	-0.058843308	-0.0250222856	0.0210882836	0	0	0	0	0	3
22	6	0	0.344720575	-0.0377601161	-0.0362012473	-0.058843308	-0.0250222856	0.0210882836	0	0	0	0	0	3
23	6	0	0.360389692	-0.0395657819	-0.0363475314	-0.058843308	-0.0250222856	0.0210882836	0	0	0	0	0	3
24	6	0	0.376058809	-0.0417889199	-0.0365742559	-0.058843308	-0.0250222856	0.0210882836	0	0	0	0	0	3
25	7	0	0.391727926	-0.0436599534	-0.0368576838	-0.058843308	-0.0250222856	0.0210882836	0	0	0	0	0	3
26	7	0	0.407397043	-0.0473980659	-0.0372630831	-0.058843308	-0.0250222856	0.0210882836	0	0	0	0	0	3
27	7	0	0.42306616	-0.0502439036	-0.0377438542	-0.058843308	-0.0250222856	0.0210882836	0	0	0	0	0	3
28	7	0	0.438735277	-0.0527501117	-0.038279792	-0.058843308	-0.0250222856	0.0210882836	0	0	0	0	0	3
29	7	0	0.454404394	-0.0551987375	-0.0388632039	-0.058843308	-0.0250222856	0.0210882836	0	0	0	0	0	3
30	8	0	0.470073511	-0.0579564269	-0.0394996447	-0.058843308	-0.0250222856	0.0210882836	0	0	0	0	0	3
31	8	0	0.485742628	-0.0634154781	-0.0402711232	-0.0634154781	-0.0250222856	0.0210882836	0	0	0	0	0	3
32	8	0	0.501411745	-0.0672891148	-0.0411154354	-0.0672891148	-0.0250222856	0.0210882836	0	0	0	0	0	3
33	8	0	0.517080862	-0.0700417985	-0.0415671388	-0.0700417985	-0.0250222856	0.0210882836	0	0	0	0	0	3
34	8	0	0.532749979	-0.0736734656	-0.0420305812	-0.0736734656	-0.0250222856	0.0205086856	0	0	0	0	0	3
35	9	0	0.548419096	-0.0768054625	-0.0426971112	-0.0768054625	-0.0250222856	0.0188905122	0	0	0	0	0	3
36	9	0	0.564088213	-0.0851609624	-0.0437907973	-0.0851609624	-0.0250222856	0.0171989846	0	0	0	0	0	3
37	9	0	0.57975733	-0.0904823247	-0.0451633734	-0.0904823247	-0.0250222856	0.0154967407	0	0	0	0	0	3
38	9	0	0.595426447	-0.0951544633	-0.0467896836	-0.0951544633	-0.0250222856	0.0135963044	0	0	0	0	0	3
39	10	0	0.611095564	-0.0974312706	-0.0486368888	-0.0974312706	-0.0250222856	0.0125098734	0	0	0	0	0	3
40	10	0	0.626764681	-0.104530904	-0.0508047652	-0.104530904	-0.0250222856	0.0146777498	0	0	0	0	0	3
41	10	0	0.642433798	-0.116564024	-0.0534578288	-0.116564024	-0.0250222856	0.0173308134	0	0	0	0	0	3
42	10	0	0.658102915	-0.125424456	-0.0564476554	-0.125424456	-0.0250222856	0.02032064	0	0	0	0	0	3
43	11	0	0.673772032	-0.128926474	-0.0596242718	-0.128926474	-0.0250222856	0.0234972564	0	0	0	0	0	3
44	11	0	0.689441149	-0.135626877	-0.0630345021	-0.135626877	-0.0250222856	0.0269074867	0	0	0	0	0	3
45	11	0	0.705110266	-0.141080425	-0.066661319	-0.141080425	-0.0253087496	0.0305343036	0	0	0	0	0	3
46	12	0	0.720779384	-0.148369965	-0.070506982	-0.148369965	-0.0254785387	0.0343799665	0	0	0	0	0	3
47	12	0	0.736448501	-0.153690966	-0.0745136203	-0.153690966	-0.0268682744	0.0383866049	0	0	0	0	0	3
48	12	0	0.752117618	-0.161725264	-0.0787279013	-0.161725264	-0.0282166677	0.0426008858	0	0	0	0	0	3
49	29	0	0.767786735	-0.168741235	-0.083119294	-0.168741235	-0.0297602046	0.0469922785	0	0	0	0	0	3
50	29	0	0.783455852	-0.175671826	-0.0876790321	-0.175671826	-0.0312878135	0.0515520167	0	0	0	0	0	3
51	30	0	0.799124969	-0.183480752	-0.0924350615	-0.183480752	-0.0329425171	0.0563080461	0	0	0	0	0	3
52	30	0	0.814794086	-0.191580677	-0.097392504	-0.191580677	-0.0353699241	0.0612654886	0	0	0	0	0	3
53	30	0	0.830463203	-0.197913127	-0.102471979	-0.197913127	-0.0377601161	0.0662707318	0	0	0	0	0	3
54	31	0	0.84613232	-0.210466969	-0.107869068	-0.210466969	-0.0395657819	0.0715215368	0	0	0	0	0	3
55	31	0	0.861801437	-0.207129459	-0.113105433	-0.210466969	-0.0417889199	0.0765311772	0	0	0	0	0	3
56	31	0	0.877470554	-0.227110573	-0.118896735	-0.227110573	-0.0436599534	0.082039051	0	0	0	0	0	3
57	31	0	0.893139671	-0.235179544	-0.124881722	-0.235179544	-0.0473980659	0.0876186389	0	0	0	0	0	3
58	32	0	0.908808788	-0.236156355	-0.130780418	-0.236156355	-0.0502439036	0.0930365642	0	0	0	0	0	3
59	32	0	0.924477905	-0.243201109	-0.136810331	-0.243201109	-0.0527501117	0.0985305391	0	0	0	0	0	3
60	32	0	0.940147022	-0.25900344	-0.143255748	-0.25900344	-0.0551987375	0.104392544	0	0	0	0	0	3
61	33	0	0.955816139	-0.274635052	-0.150113132	-0.274635052	-0.0579564269	0.110613488	0	0	0	0	0	3
62	33	0	0.971485256	-0.283857029	-0.157172526	-0.283857029	-0.0634154781	0.116901403	0	0	0	0	0	3
63	33	0	0.987154373	-0.289679735	-0.164243284	-0.289679735	-0.0672891148	0.123127849	0	0	0	0	0	3
64	33	0	1.00282349	-0.298552679	-0.171470271	-0.298552679	-0.0700417985	0.129903132	0.00820591179	0	6.3	0	0	3
65	34	0	1.01849261	-0.312898258	-0.179059535	-0.312898258	-0.0736734656	0.137028954	0.00863627918	0	6.3	0	0	3
66	34	0	1.03416172	-0.329330188	-0.187048808	-0.329330188	-0.0768054625	0.144351696	0.00888275813	0	6.1	0	0	3
67	34	0	1.04983084	-0.343225341	-0.195374429	-0.343225341	-0.0851609624	0.151583632	0.0091038693	0	6	0	0	3
68	35	0	1.06549996	-0.353286337	-0.203753347	-0.353286337	-0.0904823247	0.158589973	0.00928988237	0	5.8	0	0	3
69	35	0	1.08116908	-0.361578423	-0.2122251	-0.361578423	-0.0951544633	0.165435416	0.00945124272	0	5.7	0	0	3
70	35	0	1.09683819	-0.371511323	-0.220861252	-0.371511323	-0.0974312706	0.172224363	0.00960848079	0	5.5	0	0	3
71	36	0	1.11250731	-0.384928815	-0.22984555	-0.384928815	-0.104530904	0.179040785	0.00977829723	0	5.4	0	0	3
72	36	0	1.12817643	-0.400836306	-0.239105094	-0.400836306	-0.116564024	0.185647265	0.00996531265	0	5.3	0	0	3
73	36	0	1.14384554	-0.416730585	-0.248485299	-0.416730585	-0.125424456	0.192037643	0.01016375	0	5.2	0	0	3
74	36	0	1.15951466	-0.431975305	-0.258065013	-0.431975305	-0.128926474	0.198440741	0.0103682341	0	5.2	0	0	3
75	37	0	1.17518378	-0.447316629	-0.268014705	-0.447316629	-0.135626877	0.204980203	0.0105773792	0	5.1	0	0	3
76	37	0	1.19085289	-0.453572509	-0.277950506	-0.453572509	-0.141080425	0.211289187	0.0107673065	0	5	0	0	3
77	37	0	1.20652201	-0.455144623	-0.287765012	-0.455144623	-0.148369965	0.21725803	0.0109309811	0	5	0	0	3
78	37	0	1.22219113	-0.456775081	-0.297402672	-0.456775081	-0.153690966	0.222889052	0.0110744036	0	4.9	0	0	3
