Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.015669117	101323.648	101323.648	101323.648	101323.648	0	0	0	0	0	0	3
2	2	0	0.0313382341	101324.186	101323.917	101323.648	101324.186	0.268892544	0	0	0	0	0	3
3	2	0	0.0470073511	101324.257	101324.03	101323.648	101324.257	0.38200531	0	0	0	0	0	3
4	2	0	0.0626764681	101324.23	101324.08	101323.648	101324.257	0.431815318	0	0	0	0	0	3
5	2	0	0.0783455852	101324.276	101324.119	101323.648	101324.276	0.471055127	0	0	0	0	0	3
6	2	0	0.0940147022	101324.313	101324.152	101323.648	101324.313	0.503253434	0	0	0	0	0	3
7	3	0	0.109683819	101324.338	101324.178	101323.648	101324.338	0.529864806	0	0	0	0	0	3
8	3	0	0.125352936	101324.338	101324.198	101323.648	101324.338	0.549835899	0	0	0	0	0	3
9	3	0	0.141022053	101324.309	101324.21	101323.648	101324.338	0.562090549	0	0	0	0	0	3
10	4	0	0.15669117	101324.301	101324.219	101323.648	101324.338	0.571111119	0	0	0	0	0	3
11	4	0	0.172360287	101324.269	101324.224	101323.648	101324.338	0.575576367	0	0	0	0	0	3
12	4	0	0.188029404	101324.263	101324.227	101323.648	101324.338	0.578863594	0	0	0	0	0	3
13	4	0	0.203698521	101324.235	101324.228	101323.648	101324.338	0.579463539	0	0	0	0	0	3
14	4	0	0.219367638	101324.232	101324.228	101323.648	101324.338	0.579762148	0	0	0	0	0	3
15	5	0	0.235036755	101324.215	101324.227	101323.648	101324.338	0.579762148	0	0	0	0	0	3
16	5	0	0.250705873	101324.213	101324.226	101323.648	101324.338	0.579762148	0	0	0	0	0	3
17	5	0	0.26637499	101324.201	101324.225	101323.648	101324.338	0.579762148	0	0	0	0	0	3
18	5	0	0.282044107	101324.198	101324.223	101323.648	101324.338	0.579762148	0	0	0	0	0	3
19	5	0	0.297713224	101324.185	101324.221	101323.648	101324.338	0.579762148	0	0	0	0	0	3
20	6	0	0.313382341	101324.181	101324.219	101323.648	101324.338	0.579762148	0	0	0	0	0	3
21	6	0	0.329051458	101324.167	101324.217	101323.648	101324.338	0.579762148	0	0	0	0	0	3
22	6	0	0.344720575	101324.165	101324.214	101323.648	101324.338	0.579762148	0	0	0	0	0	3
23	6	0	0.360389692	101324.146	101324.211	101323.648	101324.338	0.579762148	0	0	0	0	0	3
24	6	0	0.376058809	101324.14	101324.208	101323.648	101324.338	0.579762148	0	0	0	0	0	3
25	7	0	0.391727926	101324.119	101324.205	101323.648	101324.338	0.579762148	0	0	0	0	0	3
26	7	0	0.407397043	101324.11	101324.201	101323.648	101324.338	0.579762148	0	0	0	0	0	3
