Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.015669117	293.199784	293.199784	293.199784	293.199784	0	0	0	0	0	0	3
2	2	0	0.0313382341	293.199815	293.199799	293.199784	293.199815	1.58607406e-05	0	0	0	0	0	3
3	2	0	0.0470073511	293.199859	293.199819	293.199784	293.199859	3.58773999e-05	0	0	0	0	0	3
4	2	0	0.0626764681	293.19989	293.199837	293.199784	293.19989	5.36056814e-05	0	0	0	0	0	3
5	2	0	0.0783455852	293.199934	293.199857	293.199784	293.199934	7.30642633e-05	0	0	0	0	0	3
6	2	0	0.0940147022	293.199972	293.199876	293.199784	293.199972	9.2225273e-05	0	0	0	0	0	3
7	3	0	0.109683819	293.200021	293.199897	293.199784	293.200021	0.000113044652	0	0	0	0	0	3
8	3	0	0.125352936	293.200068	293.199918	293.199784	293.200068	0.00013453057	0	0	0	0	0	3
9	3	0	0.141022053	293.200143	293.199943	293.199784	293.200143	0.000159512452	0	0	0	0	0	3
10	4	0	0.15669117	293.200236	293.199972	293.199784	293.200236	0.000188763159	0	0	0	0	0	3
11	4	0	0.172360287	293.200675	293.200036	293.199784	293.200675	0.00025264737	0	0	0	0	0	3
12	4	0	0.188029404	293.201396	293.200149	293.199784	293.201396	0.000365934801	0	0	0	0	0	3
13	4	0	0.203698521	293.20236	293.20032	293.199784	293.20236	0.000536010805	0	0	0	0	0	3
14	4	0	0.219367638	293.203523	293.200548	293.199784	293.203523	0.000764810401	0	0	0	0	0	3
15	5	0	0.235036755	293.204799	293.200832	293.199784	293.204799	0.00104816338	0	0	0	0	0	3
16	5	0	0.250705873	293.20688	293.20121	293.199784	293.20688	0.00142617877	0	0	0	0	0	3
17	5	0	0.26637499	293.209045	293.201671	293.199784	293.209045	0.00188708853	0	0	0	0	0	3
18	5	0	0.282044107	293.211258	293.202203	293.199784	293.211258	0.00241972834	0	0	0	0	0	3
19	5	0	0.297713224	293.213496	293.202798	293.199784	293.213496	0.00301409036	0	0	0	0	0	3
20	6	0	0.313382341	293.215715	293.203444	293.199784	293.215715	0.00365996905	0	0	0	0	0	3
21	6	0	0.329051458	293.219094	293.204189	293.199784	293.219094	0.00440520938	0	0	0	0	0	3
22	6	0	0.344720575	293.222401	293.205017	293.199784	293.222401	0.00523303996	0	0	0	0	0	3
23	6	0	0.360389692	293.22572	293.205917	293.199784	293.22572	0.00613317007	0	0	0	0	0	3
24	6	0	0.376058809	293.228927	293.206875	293.199784	293.228927	0.00709191808	0	0	0	0	0	3
25	7	0	0.391727926	293.232105	293.207885	293.199784	293.232105	0.00810111457	0	0	0	0	0	3
26	7	0	0.407397043	293.236728	293.208994	293.199784	293.236728	0.00921046715	0	0	0	0	0	3
27	7	0	0.42306616	293.241251	293.210189	293.199784	293.241251	0.0104051525	0	0	0	0	0	3
28	7	0	0.438735277	293.245591	293.211453	293.199784	293.245591	0.0116695347	0	0	0	0	0	3
