Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	1	0	0.015669117	293.211688	293.211688	293.211688	293.211688	0	0	0	0	0	0	3
2	2	0	0.0313382341	293.229089	293.220388	293.211688	293.229089	0.00870045368	0	0	0	0	0	3
3	2	0	0.0470073511	293.254999	293.231925	293.211688	293.254999	0.0202373501	0	0	0	0	0	3
4	2	0	0.0626764681	293.293438	293.247304	293.211688	293.293438	0.0356155944	0	0	0	0	0	3
5	2	0	0.0783455852	293.350049	293.267853	293.211688	293.350049	0.0561646716	0	0	0	0	0	3
6	2	0	0.0940147022	293.432584	293.295308	293.211688	293.432584	0.0836199613	0	0	0	0	0	3
7	3	0	0.109683819	293.551	293.331835	293.211688	293.551	0.120147421	0	0	0	0	0	3
8	3	0	0.125352936	293.718357	293.380151	293.211688	293.718357	0.168462587	0	0	0	0	0	3
9	3	0	0.141022053	293.950404	293.443512	293.211688	293.950404	0.23182409	0	0	0	0	0	3
10	4	0	0.15669117	294.26628	293.525789	293.211688	294.26628	0.314100924	0	0	0	0	0	3
11	4	0	0.172360287	296.9926	293.840953	293.211688	296.9926	0.629265572	0	0	0	0	0	3
12	4	0	0.188029404	299.79022	294.336726	293.211688	299.79022	1.12503777	0	0	0	0	0	3
13	4	0	0.203698521	302.488698	294.9638	293.211688	302.488698	1.75211253	0	0	0	0	0	3
14	4	0	0.219367638	304.870891	295.67145	293.211688	304.870891	2.45976184	0	0	0	0	0	3
15	5	0	0.235036755	307.127782	296.435205	293.211688	307.127782	3.22351731	0	0	0	0	0	3
16	5	0	0.250705873	309.708251	297.264771	293.211688	309.708251	4.05308266	0	0	0	0	0	3
17	5	0	0.26637499	312.28931	298.148567	293.211688	312.28931	4.93687907	0	0	0	0	0	3
18	5	0	0.282044107	314.482785	299.056024	293.211688	314.482785	5.84433563	0	0	0	0	0	3
