"Id","Designator","Footprint","Quantity","Designation"
1,"C1","C_0805_2012Metric",1,"10uF 35V"
2,"C2,C7,C8,C9,C10,C11,C12,C15,C18,C19,C20,C21,C22,C23","C_0805_2012Metric",14,"100nF"
3,"C3,C4","C_0805_2012Metric",2,"22uF 10V"
4,"C5,C6","C_0805_2012Metric",2,"10uF"
5,"C13","C_0805_2012Metric",1,"1uF"
6,"C14","C_0805_2012Metric",1,"10nF"
7,"C16,C17","C_0805_2012Metric",2,"20pF"
8,"D1","D_SMB",1,"SMBJ26A"
9,"D2","D_SMB",1,"SS34"
10,"D3,D5,D7,D9,D11","D_SMB",5,"SMBJ26A"
11,"D4,D6,D8,D10,D12","LED_D5.0mm_RGB",5,"RGB LED Common Cathode 5mm"
12,"D13","D_DO-35",1,"1N4148"
13,"D14,D15,D16,D17,D18","D_SMA",5,"SS34"
14,"F1","Fuse_1206",1,"Polyfuse 500mA"
15,"J2","USB_C_Receptacle",1,"USB-C Receptacle 16P"
16,"J3","PinHeader_1x04_P2.54mm",1,"Pin Header 1x4 2.54mm"
17,"J4,J5,J6,J7,J8","AMASS_XT60-F",5,"XT60 Female PCB Mount"
18,"J9","PinHeader_1x02_P2.54mm",1,"Pin Header 1x2 2.54mm"
19,"L1","L_Bourns_SRR1260",1,"22uH SRR1260"
20,"Q1,Q2,Q3,Q4,Q5","TO-220-3",5,"IRLZ44NPBF"
21,"Q6","TO-92",1,"2N2222"
22,"R1,R8,R11,R14,R16,R20,R22,R26,R28,R32,R34","R_0805",11,"100k 1%"
23,"R2","R_0805",1,"20k 1%"
24,"R3,R4,R48","R_0805",3,"10k"
25,"R5","R_0805",1,"1M"
26,"R6,R7","R_0805",2,"5.1k"
27,"R9,R15,R21,R27,R33","R_0805",5,"15k 1%"
28,"R10,R17,R23,R29,R35","R_0805",5,"10R"
29,"R12,R13,R18,R19,R24,R25,R30,R31,R36,R37,R55,R56,R57,R58,R59","R_Axial_Power",15,"8.2R 10W"
30,"R38,R41,R44,R47,R51","R_0805",5,"68R"
31,"R39,R40,R42,R43,R45,R46,R49,R50,R52,R53","R_0805",10,"22R"
32,"R54","R_0805",1,"100R"
33,"SW1","SW_PUSH_6mm",1,"Tactile Switch 6mm"
34,"U1","TSOT-23-6",1,"MP2359DJ-LF-Z"
35,"U2","SOT-223-3",1,"AMS1117-3.3"
36,"U3","LQFP-48",1,"STM32F103C8T6"
37,"U4","QFN-28",1,"PCA9685BS"
38,"Y1","Crystal_SMD_3225-4Pin",1,"8MHz Crystal"
